state,registered voters,electoral votes,,source for registered voting data
ALABAMA,2526000,9,,https://www.census.gov/data/tables/time-series/demo/voting-and-registration/p20-580.html
ALASKA,358000,3,,
ARIZONA,3145000,11,,
ARKANSAS,1456000,6,,
CALIFORNIA,16096000,55,,
COLORADO,2893000,9,,
CONNECTICUT,1763000,7,,
DELAWARE,487000,3,,
DISTRICT OF COLUMBIA,420000,3,,
FLORIDA,9604000,29,,
GEORGIA,4892000,16,,
HAWAII,530000,4,,
IDAHO,790000,4,,
ILLINOIS,6665000,20,,
INDIANA,3298000,11,,
IOWA,1657000,6,,
KANSAS,1438000,6,,
KENTUCKY,2253000,8,,
LOUISIANA,2446000,8,,
MAINE,830000,4,,
MARYLAND,3114000,10,,
MASSACHUSETTS,3660000,11,,
MICHIGAN,5434000,16,,
MINNESOTA,3055000,6,,
MISSISSIPPI,1725000,10,,
MISSOURI,3333000,10,,
MONTANA,581000,3,,
NEBRASKA,1008000,5,,
NEVADA,1371000,6,,
NEW HAMPSHIRE,763000,4,,
NEW JERSEY,4165000,14,,
NEW MEXICO,916000,5,,
NEW YORK,9142000,29,,
NORTH CAROLINA,5194000,15,,
NORTH DAKOTA,424000,3,,
OHIO,6128000,18,,
OKLAHOMA,1861000,7,,
OREGON,2147000,7,,
PENNSYLVANIA,6909000,20,,
RHODE ISLAND,538000,4,,
SOUTH CAROLINA,2575000,9,,
SOUTH DAKOTA,437000,3,,
TENNESSEE,3251000,11,,
TEXAS,11724000,38,,
UTAH,1398000,6,,
VERMONT,351000,3,,
VIRGINIA,4399000,13,,
WASHINGTON,3906000,12,,
WEST VIRGINIA,913000,5,,
WISCONSIN,3323000,10,,
WYOMING,304000,3,,
